,State,District,Latitude,Longitude,Population,Households_with_Internet,sex_ratio,literacy_rate
500,Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,618931,1366,1077.0,66.0
501,Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,1648902,7883,920.0,63.0
502,Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,330086,602,958.0,65.0
503,West Bengal,Bankura,23.081280892857155,87.12640053571437,3596674,4273,957.0,62.0
504,West Bengal,Barddhaman,23.444453888888884,87.8150581111111,7717563,32323,945.0,68.0
505,West Bengal,Birbhum,24.06389342723,87.65153089201888,3502404,5210,956.0,62.0
506,West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,1676276,2518,956.0,65.0
507,West Bengal,Darjiling,26.839619571045585,88.33145067024122,1846823,10943,970.0,71.0
508,West Bengal,Haora,22.401674174428507,87.99421176968654,4850029,30751,939.0,74.0
509,West Bengal,Hugli,22.87929264705881,88.00010264705891,5519145,31725,961.0,74.0
510,West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,3872846,9322,953.0,65.0
511,West Bengal,Kolkata,22.550581481481483,88.3527648148148,4496694,136618,908.0,80.0
512,West Bengal,Maldah,25.08026802575105,88.17191684549356,3988845,5357,944.0,52.0
513,West Bengal,Murshidabad,24.25950655391121,88.16816860465121,7103807,7951,958.0,57.0
514,West Bengal,Nadia,23.56410971055088,88.58293034547152,5167600,12787,947.0,67.0
515,West Bengal,Puruliya,23.254192328767108,86.3968532876713,2930115,3551,957.0,55.0
516,West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,3007134,2883,939.0,50.0
